,Capital,Country,Latitude,Longitude,AvgRatings,Ratings
45,Nassau,Bahamas,25.078345600000002,-77.33833309999999,6.5,"{'4bcf7dd041b9ef3b078cf8e5': 6.5, '4ccafe8eba0a5481c6af3359': 6.5, '4c3084793896e21e62a0e590': 6.5, '4d08db41143cb60c3d8e7da6': 6.5, '4baeb148f964a5205bcf3be3': 6.5}"
46,New Delhi,India,28.6141793,77.2022662,8.2,"{'5113713fe4b09f5a3d6a7590': 8.2, '53285228498e5a2352eff534': 8.2, '55251cd0498e30f72b8037e1': 8.2, '53490086498e429cc0013382': 8.2, '5103e018e4b0f89222e745da': 8.2}"
47,Nicosia,Cyprus,35.180282,33.3736958666529,8.3,"{'4d1f501486e15481311fb13a': 8.3, '4bb2196ff964a520b9b83ce3': 8.3, '56f2bf92498eb646d69a33f0': 8.3, '4c766e452db5236a1fa2bf79': 8.3, '5c4c628f2db4a9002cd9644c': 8.3}"
48,Nursultan,Kazakhstan,43.086367700000004,77.1203365,6.9,"{'5782361c498e2299113fdb5a': 6.9, '578b98d8498e9c3e0f513623': 6.9, '56730de1498e008eb7875c26': 6.9, '567964e7498e357066e39581': 6.9, '590ed3b4cad1b67f0cda61e4': 6.9}"
49,Oranjestad,Aruba,12.526873599999998,-70.0356845,8.0,"{'4d46ccd5befe236a10230ce3': 8.0, '4b77172cf964a5205a7c2ee3': 8.0, '4e611e7b7d8b85408912701d': 8.0, '5984c4627918717aa9764991': 8.0, '586899d4ce66aa36340f416b': 8.0}"
50,Oslo,Norway,59.913330099999996,10.7389701,6.4,"{'519e5ee1498e59575ef2ae8c': 6.4, '5279f00d11d29c3463c6b7f7': 6.4, '522750e611d2072952afd290': 6.4, '56b87d7e498e429dd7ab5737': 6.4, '54591a39498e5e36624f3872': 6.4}"
51,Ottawa,Canada,45.2603984,-75.80823829999999,6.5,"{'4b2b9f33f964a5205eb824e3': 6.5, '4b15a589f964a520b7b123e3': 6.5, '4e88dd719adfeba643c1f825': 6.5, '4b30d6b5f964a52001fc24e3': 6.5, '4e91d43f7ee60278a65c6243': 6.5}"
52,Panama City,Panama,8.9714493,-79.53418020000001,8.6,"{'5655d0a138fa700382e6516c': 8.6, '57e542b9498e9b2fd7c6bd13': 8.6, '55b138c5498e655d6e9759f2': 8.6, '565e1f9c498e92930ec592e9': 8.6, '57ed9a59498ea73594f09051': 8.6}"
53,Paris,France,48.856610100000005,2.3514992,7.0,"{'4d9da49ec97a236afb68c199': 7.0, '4b73c62cf964a52073bb2de3': 7.0, '4b263913f964a520527924e3': 7.0, '4e552b70ae60e3d6b7f6ea7a': 7.0, '4c57b5de6418a5930a15800e': 7.0}"
54,Phnom Penh,Cambodia,11.568271000000001,104.9224426,0.0,"{'59b13467037be11372e6c3b9': 0.0, '57f88cd8498e09f46c56edef': 0.0, '5aa14b5accad6b7f94a30556': 0.0, '5710451b498e9fcbf5263706': 0.0, '5836d176fb9d894f30eef865': 0.0}"
55,Port of Spain,Trinidad and Tobago,10.657267800000001,-61.5180173,8.2,"{'580e021338fad048b1a68886': 8.2, '5a3e759ebcbf7a68d99a5418': 8.2, '583d9e266b0cdb761ce7d1a7': 8.2, '59bb1c94a0215b132caacd2e': 8.2, '5a8f3cb329551356c144b4ac': 8.2}"
56,Prague,Czech Republic,50.0874654,14.4212535,6.24,"{'4b46db8bf964a520f12826e3': 7.8, '5c1f5190dbde11002557c340': 0.0, '4bb135eaf964a520c2833ce3': 7.8, '594b722061f07035aaf150d3': 7.8, '4af85700f964a5205e0c22e3': 7.8}"
57,Cape Town,South Africa,-33.928992,18.417396,0.0,"{'4c6634a57abde21ea1046368': 0.0, '4c0d17d8c700c9b6dfd8a1dd': 0.0, '5785f924cd10a4e09083c991': 0.0, '4c17662e216fc9b64d508f96': 0.0, '54c61711498ea9581734e33a': 0.0}"
58,Rabat,Morocco,34.022405,-6.834542999999999,7.2,"{'59da90824420d82388d1b745': 7.2, '59e4731a62420b6d60155999': 7.2, '512bb391e4b044f61adb38dc': 7.2, '512fa409e4b06010252151d4': 7.2}"
59,Riyadh,Saudi Arabia,24.631969199999997,46.7150648,9.3,"{'566db885498e8b884eecff76': 9.3, '5a378e55d7627e096826ca3b': 9.3, '5a6b82fa35811b546ecca83c': 9.3, '4e3c350fa809ba757bf8fa7d': 9.3, '4c7c1f55566db60c31c34c0e': 9.3}"
60,Rome,Italy,41.894802,12.4853384,0.0,{'5b3c9ee8112c6c002c243bb2': 0.0}
61,San José,Costa Rica,9.932542699999999,-84.0795782,8.7,"{'561da3f7498ee3b75b76f2cb': 8.7, '56059049498ef91aac88e244': 8.7, '546e6cd6498ea38ffec6b10a': 8.7, '56301e35498e86f0e75933be': 8.7, '509c40f0c84c1d4d2cddf6f8': 8.7}"
62,San Juan,Puerto Rico,18.465298999999998,-66.11666600000001,7.7,"{'4bb8b363b35776b0cd1ec901': 7.7, '4b5850fff964a520625228e3': 7.7, '4bae8db2f964a520fdbf3be3': 7.7, '4be9b8a66295c9b626928508': 7.7, '4b79f9e1f964a5205c1d2fe3': 7.7}"
63,San Salvador,El Salvador,13.698993900000001,-89.1914249,8.1,"{'522f58bf11d2c561f86f055f': 8.1, '4e342f40d22d3229f5a7b74b': 8.1, '4ccb268454f0b1f7e29b0dca': 8.1, '4d4487b4e198721e8cc7bc8b': 8.1, '5b5103c6625a66002cccc1b1': 8.1}"
64,Santiago,Chile,-33.4377968,-70.65044509999998,7.9,"{'4ea9606329c2fa4821c006cc': 7.9, '4b52156bf964a5208e6627e3': 7.9, '4b548636f964a5208abe27e3': 7.9, '5abff227e179102112f93640': 7.9, '590b32720d2be759c6598e44': 7.9}"
65,Seoul,South Korea,37.5666791,126.97829140000002,6.2,"{'56f573d5498e64a809fc4527': 6.2, '4b5bb69af964a520a31129e3': 6.2, '4ba8ac82f964a52020e639e3': 6.2, '4fa1cc6ae4b0e0605d9704b6': 6.2, '4bc65b8d04e8b713eef1352d': 6.2}"
66,Singapore,Singapore,1.3408528,103.878446863736,6.4,"{'4cea08b7e888f04d1f404b6b': 6.4, '4b062a5cf964a52060e922e3': 6.4, '54190be5498e3bf83a894c02': 6.4, '4b5305e3f964a520d98c27e3': 6.4, '5caf2c8b7a0eff0025619b13': 6.4}"
67,Sofia,Bulgaria,42.697863399999996,23.322178899999997,8.4,"{'4ba0dbd1f964a520b58237e3': 8.4, '4b6d8a4cf964a5204a7b2ce3': 8.4, '597e3f81e1f2280f3b01cd77': 8.4, '53be6a99498ef20ed96a47f4': 8.4, '4bd2ee5177b29c74018d8f82': 8.4}"
68,Stockholm,Sweden,59.3251172,18.0710935,7.0,"{'54bcfcc3498ea0b8417f2eb2': 7.0, '54648a88498ec8d48e35fa52': 7.0, '526a72e411d2443fb92c1c26': 7.0, '56f12ced498e2f24171d1bd1': 7.0, '5811bdae38fa7f9827feb797': 7.0}"
69,La Paz,Bolivia,-16.4956371,-68.1336346,0.0,{}
70,Taipei,Taiwan,25.037519800000002,121.56367959999999,7.9,"{'4e53555745ddffa8d18bd84c': 7.9, '4e91708c77c89cb9221be476': 7.9, '4d8057fb9d78a35d49bc400f': 7.9, '4d4613a72e326ea8de69f4a6': 7.9, '4b9760edf964a520930135e3': 7.9}"
71,Tokyo,Japan,35.682838700000005,139.7594549,6.7,"{'4b85ba2bf964a520666f31e3': 6.7, '597185d60802d42bc89acd2f': 6.7, '4b6118a3f964a52085092ae3': 6.7, '4bb7d7a753649c74da5e46fb': 6.7, '5c4808899cadd90039dee94b': 6.7}"
72,Vienna,Austria,48.2083537,16.372504199999998,7.5,"{'4dbc0edc6a23e294ba239284': 7.5, '4b090dd4f964a5200d1423e3': 7.5, '4bbb2e6ccf2fc9b6733fa202': 7.5, '4b4ba1bbf964a52065a226e3': 7.5, '503240e5e4b021f7a662abf3': 7.5}"
73,Warsaw,Poland,52.2319237,21.006726500000003,7.8,"{'4e0a4b84d22da1beee107bd8': 7.8, '4eed40f9754afe5c2c1785ed': 7.8, '4fc39581e4b0e12f8eca8525': 7.8, '537ccc08498ec730b990e527': 7.8, '4e97de4f77c8d1cccb7edf6b': 7.8}"
74,Washington,United States,38.8950092,-77.0365625,6.9,"{'4a6718ecf964a520e7c81fe3': 6.9, '4a54d2f3f964a52053b31fe3': 6.9, '4aba41d5f964a520a98020e3': 6.9, '4b546d13f964a520e2ba27e3': 6.9, '4ba682fdf964a5209d5939e3': 6.9}"
75,Wellington,New Zealand,-41.2887467,174.7772092,6.6,"{'4b058778f964a5204f9422e3': 6.6, '4b233adbf964a520895424e3': 6.6, '4c0c06d86071a5937f2ae232': 6.6, '4c560dc273fd2d7f4987ddce': 6.6}"
76,Willemstad,Curaçao,12.1091242,-68.9316546,8.4,"{'4e480b8381305ff36220a929': 8.4, '518d4c49498eb09686757816': 8.4, '5793ceea498e85cfb782183e': 8.4}"
